year,month,state,rainfall,soil_moisture,groundwater_level,population,population_consumption_per_month,LPCD,rainfall_z,soil_moisture_z,groundwater_z,LPCD_z,WSI_entropy,WSI_entropy_0_100,WSI_equal,WSI_equal_0_100,entropy_weight_LPCD_s,entropy_weight_rainfall_s,entropy_weight_soil_s,entropy_weight_groundwater_s
2019,4,Arunachal Pradesh,4589.314019,23.4035952,7.46,1554222,6294599100,135,0.88629262,0.798848475,-0.074805989,-1.315024691,0.16290787,11.11442394,0.33300643,25.68903013,0.626729372,0.112425164,0.138900277,0.121945187
2019,6,Arunachal Pradesh,8821.335322,25.15874681,5.03125,1557830,6309211500,135,2.548537404,1.053885364,-0.489805464,-1.315024691,0.11445687,5.684816647,0.226813176,12.17430662,0.626729372,0.112425164,0.138900277,0.121945187
2019,8,Arunachal Pradesh,5896.667427,26.49184025,2.6025,1561438,6534618030,139.5,1.399792253,1.24759399,-0.90480494,0.760441995,0.779704162,80.23501264,0.563247862,54.99079083,0.626729372,0.112425164,0.138900277,0.121945187
2019,10,Arunachal Pradesh,3485.705463,24.68442583,4.105833333,1565046,6549717510,139.5,0.45281948,0.984962915,-0.647931015,0.760441995,0.810296549,83.66331438,0.629011226,63.36018958,0.626729372,0.112425164,0.138900277,0.121945187
2019,11,Arunachal Pradesh,577.630312,21.43791739,4.8575,1566850,6345742500,135,-0.689408406,0.513220525,-0.519494053,-1.315024691,0.22914554,18.53727461,0.474983626,43.75781041,0.626729372,0.112425164,0.138900277,0.121945187
2019,12,Arunachal Pradesh,291.8100459,19.61162976,5.04625,1568654,6564816990,139.5,-0.801672313,0.24784703,-0.487242421,0.760441995,0.866356148,89.94557079,0.745106937,78.13515308,0.626729372,0.112425164,0.138900277,0.121945187
2020,1,Arunachal Pradesh,1575.593494,19.53405333,5.235,1570458,6572366730,139.5,-0.297430443,0.236574584,-0.454990789,0.760441995,0.850679268,88.18875869,0.710232638,73.69686261,0.626729372,0.112425164,0.138900277,0.121945187
2020,3,Arunachal Pradesh,1339.890966,19.78581422,4.842,1564215,6546239775,139.5,-0.390009206,0.273157358,-0.522142531,0.760441995,0.853930999,88.55316029,0.717655432,74.64152713,0.626729372,0.112425164,0.138900277,0.121945187
2020,4,Arunachal Pradesh,4062.293391,21.63729129,4.6455,1561093.5,6322428660,134.9999997,0.679290523,0.54219107,-0.555718402,-1.315024839,0.187647634,13.88685799,0.382923523,32.04174739,0.626729372,0.112425164,0.138900277,0.121945187
2020,5,Arunachal Pradesh,8007.909436,22.02512653,4.449,1557972,6520112820,139.5,2.229041626,0.598546483,-0.589294273,0.760441995,0.766527535,78.75838864,0.52709162,50.38935338,0.626729372,0.112425164,0.138900277,0.121945187
