year,month,state,rainfall,soil_moisture,groundwater_level,population,population_consumption_per_month
2020,9,Andhra Pradesh,5577.266585046,32.60409207871795,4.903333333333333,53159131.0,215294480550.0
2020,10,Andhra Pradesh,3708.30715896,27.98459892630273,4.181666666666667,53066098.25,222081621184.0
2020,11,Andhra Pradesh,3343.064504034,24.48906269589743,3.4600000000000004,52973065.5,214540915260.0
2020,12,Andhra Pradesh,665.669519875,23.90123864615385,3.8104545454545455,52880032.75,221302937051.0
2021,1,Andhra Pradesh,619.990275666,19.05363429134809,4.16090909090909,52787000.0,220913595000.0
2021,2,Andhra Pradesh,200.524361703,16.438046664573992,4.187532467532467,52802416.666666664,199593135000.0
2021,3,Andhra Pradesh,27.894882319,13.956522741481482,4.214155844155844,52817833.333333336,221042632500.0
2021,4,Andhra Pradesh,1090.274674268,18.499610677057355,4.2407792207792205,52833250.0,213974662500.0
2021,5,Andhra Pradesh,1936.732813515,22.48387776403941,4.267402597402597,52848666.666666664,221171670000.0
2021,6,Andhra Pradesh,2586.843734413,23.97088661190476,4.294025974025974,52864083.333333336,214099537500.0
2021,7,Andhra Pradesh,5915.413245473,27.6771275909375,4.320649350649351,52879500.0,221300707500.0
2021,8,Andhra Pradesh,4181.819276684,25.17246662695214,4.347272727272728,52894916.666666664,221365226250.0
2021,9,Andhra Pradesh,6509.712658397,26.90749445618729,2.923636363636364,52910333.333333336,214286850000.0
2021,10,Andhra Pradesh,3086.187932836,26.21741678451613,1.5,52925750.0,221494263750.0
2021,11,Andhra Pradesh,7092.902365717,,3.478181818181818,52941166.666666664,214411725000.0
2021,12,Andhra Pradesh,583.328094055,24.12304398118812,3.5913636363636363,52956583.333333336,221623301250.0
2022,1,Andhra Pradesh,437.273638167,19.30238684153846,3.7045454545454546,52972000.0,221687820000.0
2022,2,Andhra Pradesh,17.717814257,16.966418523626373,3.452272727272727,52987333.333333336,200292120000.0
2022,3,Andhra Pradesh,101.7925451755,15.68302348808933,3.2,53002666.666666664,221816160000.0
2022,4,Andhra Pradesh,274.0911149718,16.186440178205128,4.248636363636363,53018000.0,214722900000.0
2022,5,Andhra Pradesh,2943.668985354,23.27857939179487,5.297272727272727,53033333.333333336,221944500000.0
2022,6,Andhra Pradesh,2985.4824111098,25.051851840718207,4.764242424242424,53048666.666666664,214847100000.0
2022,7,Andhra Pradesh,4544.45601416,26.580769552739948,4.231212121212121,53064000.0,222072840000.0
2022,8,Andhra Pradesh,4509.3157781395,26.7232993567335,3.6981818181818182,53079333.333333336,222137010000.0
2022,9,Andhra Pradesh,4769.4776836423,26.42315267285077,3.51,53094666.666666664,215033400000.0
2022,10,Andhra Pradesh,4622.0535647336,27.490271155038464,3.321818181818182,53110000.0,222265350000.0
2022,11,Andhra Pradesh,1293.4371536957,21.639544600227584,3.1336363636363633,53125333.333333336,215157600000.0
2022,12,Andhra Pradesh,1478.8699350082,22.0088508017067,3.7177272727272728,53140666.666666664,222393690000.0
2023,1,Andhra Pradesh,23.7647441972,18.174267930160767,4.301818181818182,53156000.0,222457860000.0
2023,2,Andhra Pradesh,3.1425062939,15.678756736756696,10.41,53171333.333333336,200987640000.0
2023,3,Andhra Pradesh,1546.6496536316,18.70071398395564,7.164444444444445,53186666.666666664,222586200000.0
2023,4,Andhra Pradesh,816.6808094308,20.479566876063338,7.602222222222222,53202000.0,215468100000.0
2023,5,Andhra Pradesh,2278.6698382078,24.00044488479131,6.876363636363636,53217333.333333336,222714540000.0
2023,6,Andhra Pradesh,1926.9646527939,23.125752727976153,9.284444444444444,53232666.666666664,215592300000.0
2023,7,Andhra Pradesh,5273.3109528859995,26.41112546083052,9.118888888888888,53248000.0,222842880000.0
2023,8,Andhra Pradesh,2197.3007116051,22.84319169762804,6.891818181818182,53263333.333333336,222907050000.0
2023,9,Andhra Pradesh,4182.9765476528,26.09989443276436,9.238888888888887,53278666.666666664,215778600000.0
2023,10,Andhra Pradesh,364.4342591009,19.630649053137123,9.272222222222222,53294000.0,223035390000.0
2023,11,Andhra Pradesh,1372.036308072,20.114248718594872,10.457,53309333.333333336,215902800000.0
2023,12,Andhra Pradesh,2764.5426175975,23.13316885310745,10.703,53324666.666666664,223163730000.0
2024,1,Andhra Pradesh,25.2004041127,17.810077587428914,11.458,53340000.0,223227900000.0
2024,2,Andhra Pradesh,5.3826128812,15.573446096416712,12.151,53355333.333333336,201683160000.0
2024,3,Andhra Pradesh,63.6140717594,15.029825512062034,8.39,53370666.666666664,223356240000.0
2024,4,Andhra Pradesh,73.1422160184,15.288142938773849,-1.2794999999999987,53386000.0,216213300000.0
2024,5,Andhra Pradesh,1091.3948192859,22.157183674093304,-10.949,53401333.333333336,223484580000.0
2024,6,Andhra Pradesh,2250.5057210628,26.573013029095385,-12.243,53416666.666666664,216337500000.0
2024,7,Andhra Pradesh,2395.8349921158,26.00943159262198,-11.835,53432000.0,223612920000.0
2024,8,Andhra Pradesh,2734.5620923921,27.209851265428785,-11.497,53447333.333333336,223677090000.0
2024,9,Andhra Pradesh,1964.6120967907,26.480417090036667,-9.981,53462666.666666664,216523800000.0
2024,10,Andhra Pradesh,1913.4148150216,27.607640314441024,-9.647,53478000.0,223805430000.0
2024,11,Andhra Pradesh,507.4865179326,,-9.195,53493333.333333336,216648000000.0
2024,12,Andhra Pradesh,840.1897197416,,-8.841,53508666.666666664,223933770000.0
2025,1,Andhra Pradesh,56.5511446337,18.952107403439037,,,
2025,2,Andhra Pradesh,5.7941180985,16.01132535387275,,,
2025,3,Andhra Pradesh,116.306260665,15.104507718605351,,,
2025,4,Andhra Pradesh,819.3836480861,17.964825585616154,,,
2025,5,Andhra Pradesh,4171.4997494032,25.64311801825812,,,
2025,6,Andhra Pradesh,2075.8014408123,24.97086215937513,,,
2018,1,Arunachal Pradesh,417.584113901,,5.6933333333333325,1528296.0,6395918760.0
2018,2,Arunachal Pradesh,572.354182316,,5.840416666666666,1530005.5,5783420776.0
2018,3,Arunachal Pradesh,905.565468099,,5.9875,1531715.0,6410227275.0
2018,4,Arunachal Pradesh,2728.690804666,,5.4915,1533424.5,6210369240.0
2018,5,Arunachal Pradesh,3494.215762461,,4.9955,1535134.0,6424535790.0
2018,6,Arunachal Pradesh,5447.64735404,,4.499499999999999,1536843.5,6224216160.0
2018,7,Arunachal Pradesh,9828.194591864,27.655403720779223,4.0035,1538553.0,6438844305.0
2018,8,Arunachal Pradesh,12488.651703591,27.31257641500766,3.5075,1540262.5,6445998578.0
2018,9,Arunachal Pradesh,8271.568388414,26.763967854569895,3.783333333333333,1541972.0,6244986600.0
2018,10,Arunachal Pradesh,7726.077750865,23.346203304091457,4.059166666666666,1543681.5,6460307062.0
2018,11,Arunachal Pradesh,2526.609180108,22.05683476962719,4.335,1545391.0,6258833550.0
2018,12,Arunachal Pradesh,2002.705694513,20.912208740629275,4.86375,1547100.5,6474615608.0
2019,1,Arunachal Pradesh,402.923768701,20.273278847612904,5.3925,1548810.0,6481769850.0
2019,2,Arunachal Pradesh,2376.439658265,19.84656888,5.00625,1550614.0,5861320920.0
2019,3,Arunachal Pradesh,2978.628365329,22.11705268916129,4.62,1552418.0,6496869330.0
2019,4,Arunachal Pradesh,4589.314018574,23.40359520266667,7.46,1554222.0,6294599100.0
2019,5,Arunachal Pradesh,9639.609299811,25.13083053316129,6.245625,1556026.0,6511968810.0
2019,6,Arunachal Pradesh,8821.335321962,25.158746807599996,5.03125,1557830.0,6309211500.0
2019,7,Arunachal Pradesh,19146.193467132,28.04778284116129,3.816875,1559634.0,6527068290.0
2019,8,Arunachal Pradesh,5896.667426592,26.491840253032255,2.6025,1561438.0,6534618030.0
2019,9,Arunachal Pradesh,10627.959571055,27.144388822533337,3.3541666666666665,1563242.0,6331130100.0
2019,10,Arunachal Pradesh,3485.705462725,24.68442582748387,4.105833333333333,1565046.0,6549717510.0
2019,11,Arunachal Pradesh,577.630312023,21.437917391333333,4.8575,1566850.0,6345742500.0
2019,12,Arunachal Pradesh,291.810045925,19.611629763741934,5.046250000000001,1568654.0,6564816990.0
2020,1,Arunachal Pradesh,1575.5934937,19.534053330580647,5.235,1570458.0,6572366730.0
2020,2,Arunachal Pradesh,849.075627861,19.43938154386207,5.0385,1567336.5,5924531984.0
2020,3,Arunachal Pradesh,1339.89096577,19.78581422270968,4.8420000000000005,1564215.0,6546239775.0
2020,4,Arunachal Pradesh,4062.29339132,21.6372912856,4.6455,1561093.5,6322428660.0
2020,5,Arunachal Pradesh,8007.909435732,22.025126531870967,4.449,1557972.0,6520112820.0
2020,6,Arunachal Pradesh,10673.933611307,23.220843513466665,4.2525,1554850.5,6297144540.0
2020,7,Arunachal Pradesh,9819.088814395,24.30734145948387,4.056,1551729.0,6493985865.0
2020,8,Arunachal Pradesh,2645.431908068,24.483043438580644,3.8595,1548607.5,6480922372.0
2020,9,Arunachal Pradesh,2541.171832397,24.851137802133337,3.663,1545486.0,6259218300.0
2020,10,Arunachal Pradesh,3423.775225651,22.854229152645164,3.4665,1542364.5,6454795448.0
2020,11,Arunachal Pradesh,1631.333282845,20.3483030884,3.27,1539243.0,6233934150.0
2020,12,Arunachal Pradesh,760.071681068,17.48783374180645,4.13125,1536121.5,6428668462.0
2021,1,Arunachal Pradesh,959.108010445,16.46145422861111,4.9925,1533000.0,6415605000.0
2021,2,Arunachal Pradesh,273.98810187,14.741215857142858,4.7214285714285715,1534250.0,5799465000.0
2021,3,Arunachal Pradesh,2634.69750708,17.27264313736089,4.4503571428571425,1535500.0,6426067500.0
2021,4,Arunachal Pradesh,3817.727811053,19.292166549733334,4.179285714285714,1536750.0,6223837500.0
2021,5,Arunachal Pradesh,6493.959382545,20.861042262972973,3.9082142857142856,1538000.0,6436530000.0
2021,6,Arunachal Pradesh,9655.916660448,22.19151790695876,3.637142857142857,1539250.0,6233962500.0
2021,7,Arunachal Pradesh,7602.684949699,22.421055165226782,3.366071428571429,1540500.0,6446992500.0
2021,8,Arunachal Pradesh,10696.61695804,22.921561799338843,3.095,1541750.0,6452223750.0
2021,9,Arunachal Pradesh,3967.204553811,21.09643829931585,3.521666666666667,1543000.0,6249150000.0
2021,10,Arunachal Pradesh,2232.267103795,19.3685748574344,3.9483333333333337,1544250.0,6462686250.0
2021,11,Arunachal Pradesh,353.564996453,,4.375,1545500.0,6259275000.0
2021,12,Arunachal Pradesh,426.679616656,14.941077727982162,5.00375,1546750.0,6473148750.0
2022,1,Arunachal Pradesh,1174.367862303,16.072156705066664,5.6325,1548000.0,6478380000.0
2022,2,Arunachal Pradesh,2121.836610511,20.06928177757143,5.68125,1549166.6666666667,5855850000.0
2022,3,Arunachal Pradesh,1863.1153041626,17.228426325935484,5.73,1550333.3333333333,6488145000.0
2022,4,Arunachal Pradesh,10119.3368326998,21.692871366133335,5.141500000000001,1551500.0,6283575000.0
2022,5,Arunachal Pradesh,7771.0129122988,22.709973941333335,4.553000000000001,1552666.6666666667,6497910000.0
2022,6,Arunachal Pradesh,13196.928252797,23.969452997152132,3.9645,1553833.3333333333,6293025000.0
2022,7,Arunachal Pradesh,7314.4238149054,21.828378794511096,3.3760000000000003,1555000.0,6507675000.0
2022,8,Arunachal Pradesh,6890.5840148412,22.427444891557936,2.7875,1556166.6666666667,6512557500.0
2022,9,Arunachal Pradesh,6794.8358111956,22.71308438631547,3.671666666666667,1557333.3333333333,6307200000.0
2022,10,Arunachal Pradesh,5679.1085919878,21.533569487834836,4.555833333333334,1558500.0,6522322500.0
2022,11,Arunachal Pradesh,108.5803968207,17.662410952557792,5.44,1559666.6666666667,6316650000.0
2022,12,Arunachal Pradesh,452.0615926801,14.617129120305936,4.973000000000001,1560833.3333333333,6532087500.0
2023,1,Arunachal Pradesh,835.9851596687,15.769241154288,4.506,1562000.0,6536970000.0
2023,2,Arunachal Pradesh,2360.8769698176,17.188890763394813,4.237,1563166.6666666667,5908770000.0
